Special tokens have been added in the vocabulary, make sure the associated word embeddings are fine-tuned or trained.
/home/jsamper/anaconda3/envs/myenv/lib/python3.12/site-packages/transformers/models/beit/feature_extraction_beit.py:28: FutureWarning: The class BeitFeatureExtractor is deprecated and will be removed in version 5 of Transformers. Please use BeitImageProcessor instead.
  warnings.warn(
/home/jsamper/anaconda3/envs/myenv/lib/python3.12/site-packages/transformers/models/beit/image_processing_beit.py:110: FutureWarning: The `reduce_labels` parameter is deprecated and will be removed in a future version. Please use `do_reduce_labels` instead.
  warnings.warn(
Special tokens have been added in the vocabulary, make sure the associated word embeddings are fine-tuned or trained.
Special tokens have been added in the vocabulary, make sure the associated word embeddings are fine-tuned or trained.
epoch: 0
/home/jsamper/anaconda3/envs/myenv/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:2619: FutureWarning: The `pad_to_max_length` argument is deprecated and will be removed in a future version, use `padding=True` or `padding='longest'` to pad to the longest sequence in the batch, or use `padding='max_length'` to pad to a max length. In this case, you can give a specific length with `max_length` (e.g. `max_length=45`) or leave max_length to None to pad to the maximal input size of the model (e.g. 512 for Bert).
  warnings.warn(
It looks like you are trying to rescale already rescaled images. If the input images have pixel values between 0 and 1, set `do_rescale=False` to avoid rescaling them again.
/home/jsamper/anaconda3/envs/myenv/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:2619: FutureWarning: The `pad_to_max_length` argument is deprecated and will be removed in a future version, use `padding=True` or `padding='longest'` to pad to the longest sequence in the batch, or use `padding='max_length'` to pad to a max length. In this case, you can give a specific length with `max_length` (e.g. `max_length=45`) or leave max_length to None to pad to the maximal input size of the model (e.g. 512 for Bert).
  warnings.warn(
tensor(4.0273, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.1732, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8868, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.2399, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8798, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8487, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.1804, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.4029, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6786, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.4737, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.0129, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.1627, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.5072, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.7735, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.5591, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.2050, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.8983, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.6920, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.1225, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.3939, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6406, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.5145, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.2611, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.0810, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.1489, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.4393, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.5285, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.7579, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.3267, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.3181, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.6733, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.9819, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.0389, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.7592, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(6.1887, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(6.1279, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.5360, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.9413, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.7964, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.8324, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(6.5180, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.7764, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.4755, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.5225, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.6503, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.5992, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.4388, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.2539, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.4760, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.7839, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.1267, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.9132, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.8731, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.3321, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.7572, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.2422, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.6479, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.7342, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.4165, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(6.7325, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.2964, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.7932, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6087, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.8631, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.8717, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.2629, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(6.0041, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.3105, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.2095, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.3686, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.3385, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.1166, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.5696, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.5323, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.3718, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.7773, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.0529, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.4500, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.9437, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6993, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.9533, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.7615, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.0090, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.7628, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6585, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.4062, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.7697, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.7190, device='cuda:0', grad_fn=<NllLossBackward0>)
